id,Pos,GS,FGptg,X3Pptg,PF,PTS,AST,Salary
222,PF,15.125,0.4495,0.13,4.2875,13.5375,1.5375,4295833.125
223,PF,0,0.328,0.154,5.85,10.25,1.9,253522
224,PF,0.5,0.425,0,4.175,13.675,4.55,377269.5
225,SF,34.75,0.41775,0.3745,2.575,13.025,3.65,4491850
226,SG,0,0.167,0.167,4.9,4.9,1.6,59686
227,C,0,0.583,0,5.5,13.8,0,38172
228,SF,4.833333333,0.3895,0.332666667,4.2,13.58333333,1.85,1750938.667
229,SF,4.5,0.427,0.359,3.45,11.85,5.05,1431500
230,C,15,0.562,0,6,9.2,0.4,816482
231,SF,23.71428571,0.402857143,0.36,2.657142857,12.78571429,2.671428571,2482159.571
232,SG,13,0.362,0.407,4,8.3,5.3,816482
233,SF,65.8,0.4571,0.3253,1.73,15.99,2.41,8909858.5
234,SG,71.83333333,0.445666667,0.2465,2.616666667,18.16666667,2.466666667,4950961.667
235,SG,14,0.3255,0.2715,4.45,8,1.95,730043.5
236,PF,46.5,0.4987,0.3416,2.8,11.79,4.68,6474720.1
237,SG,0,0.25,0,0,10,2,56065
238,PG,3.666666667,0.382333333,0.365,4.8,11.73333333,5.966666667,2973308
239,PF,0,0.333,0,3,6,3,264897
240,PG,4.2,0.3656,0.33,2.58,10.34,5.02,1184594.2
241,C,32,0.502,0.5835,3.95,12.15,2.05,1383060
242,PG,1,0.302,0.185,4.2,11.5,8.2,700000
243,PF,3,0.427833333,0.083333333,4.766666667,15.83333333,0.683333333,1666223.833
244,C,11,0.426875,0.0625,4.6125,4.45,1.2625,4798375
245,PG,13.5,0.4165,0.3705,3.2,14.425,3.875,2149599.5
246,C,3.666666667,0.444333333,0,5.2,9.266666667,0.966666667,2880000
247,PG,7.5,0.42875,0.357,3.075,13.175,3.8625,2813322.625
248,PF,6.5,0.50675,0,4.775,9.225,2.425,875013
249,PG,0,0.385666667,0.296,2.866666667,13.4,2.233333333,1333960
250,SG,10.6,0.3858,0.1956,2.88,11.3,2.16,604187
251,SG,7.833333333,0.393,0.325833333,3.733333333,13.43333333,4.183333333,1191622.333
