player_id,positions,height,weight,shoots,team,birthday,birthyear,birth_place,debut_date,experience
onealsh01,['Center'],7-1,325,Right,,March 6,1972,"Newark, New Jersey","November 6, 1992",
mcgratr01,"['Shooting Guard', 'Small Forward']",6-8,210,Right,,May 24,1979,"Bartow, Florida","October 31, 1997",
stojape01,['Small Forward'],6-9,220,Right,,June 9,1977,"Slavoska Pozega , Croatia","February 5, 1999",
onealje01,"['Center', 'Power Forward']",6-11,226,Right,,October 13,1978,"Columbia, South Carola","December 5, 1996",
fosteje01,['Center'],6-11,236,Right,,January 16,1977,"San Antonio, Texas","November 4, 1999",
webstma02,['Small Forward'],6-7,230,Right,,December 4,1986,"Edmonds, Washgton","November 4, 2005",10
farieke01,['Power Forward'],6-8,228,Right,Denver Nuggets,November 19,1989,"Newark, New Jersey","December 28, 2011",5
bellra01,['Shooting Guard'],6-5,204,Right,,September 19,1976,"St. Croix, U.S. Virg Islands","April 6, 2001",
parkean01,"['Shooting Guard', 'Small Forward']",6-6,215,Right,,June 19,1975,"Naperville, Illois","December 7, 1997",
haywago01,['Small Forward'],6-8,226,Right,Utah Jazz,March 23,1990,"Indianapolis, Indiana","October 27, 2010",6
sessira01,"['Point Guard', 'Shooting Guard']",6-3,190,Right,Charlotte Hornets,April 11,1986,"Myrtle Beach, South Carola","March 9, 2008",9
favorde01,['Power Forward'],6-10,265,Right,Utah Jazz,July 15,1991,"Atlanta, Georgia","October 27, 2010",6
couside01,['Center'],6-11,270,Right,Sacramento Kings,August 13,1990,"Mobile, Alabama","October 27, 2010",6
parsoch01,['Small Forward'],6-10,230,Right,Memphis Grizzlies,October 25,1988,"Casselberry, Florida","December 29, 2011",5
westde01,"['Point Guard', 'Shooting Guard']",6-4,180,Left,,July 26,1983,"Washgton, District of Columbia","November 26, 2004",
splitti01,"['Center', 'Power Forward']",6-11,245,Right,Atlanta Hawks,January 1,1985,"Joville, Brazil","November 1, 2010",6
poseyja01,"['Small Forward', 'Shooting Guard', 'Power Forward']",6-8,215,Right,,January 13,1977,"Cleveland, Ohio","November 2, 1999",
thomais02,['Point Guard'],5-9,185,Left,Boston Celtics,February 7,1989,"Tacoma, Washgton","December 26, 2011",5
jacksst02,"['Small Forward', 'Shooting Guard', 'Power Forward']",6-8,218,Right,,April 5,1978,"Houston, Texas","October 31, 2000",
foyera01,"['Shooting Guard', 'Point Guard']",6-4,213,Right,Brooklyn Nets,September 24,1983,"Newark, New Jersey","November 1, 2006",10
