player_id,Season,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
bynuman01,2013,NBA,C,26,19,516,6.6,15.7,0.418,0,0,,6.6,15.7,0.418,2.6,3.4,0.755,3.7,6.4,10.1,2,0.4,2,2.4,2.2,15.7,6000000
barnema02,2013,NBA,SF,63,40,1735,4.8,10.9,0.438,2,5.9,0.343,2.8,5.1,0.549,1.4,1.9,0.733,1.2,4.8,6.1,2.6,1.2,0.6,1.8,3.8,13,3250000
willilo02,2013,NBA,PG,60,7,1445,4.9,12.3,0.4,2,5.8,0.342,2.9,6.5,0.45,3.8,4.5,0.849,0.2,2.8,3.1,5.2,1.1,0.1,2.3,1.6,15.6,5225000
ellismo01,2013,NBA,SG,82,82,3023,6.9,15.2,0.451,0.8,2.5,0.33,6,12.7,0.474,4,5.1,0.788,0.5,3.1,3.5,5.6,1.7,0.3,3.1,2.3,18.6,8000000
willima01,2013,NBA,PG,74,0,1834,5.5,13.2,0.417,1.6,4.4,0.369,3.9,8.8,0.441,1.5,1.7,0.876,0.8,2.2,3,6.3,1.1,0.2,2.9,3.9,14.2,2652000
bassbr01,2013,NBA,PF,82,73,2266,5.6,11.5,0.486,0,0.1,0.333,5.6,11.4,0.487,3.3,3.8,0.858,2.6,4.9,7.5,1.4,0.6,1.1,1.6,3,14.5,6450000
hasleud01,2013,NBA,PF,46,18,653,4.1,8,0.507,0,0,,4.1,8,0.507,1.4,2.4,0.568,2.3,7.3,9.6,0.7,0.6,0.8,1.3,4.4,9.5,4340000
matthwe02,2013,NBA,SG,82,82,2780,5.8,13.1,0.441,2.6,6.6,0.393,3.2,6.4,0.49,3.3,3.9,0.837,0.7,3.1,3.7,2.6,1,0.2,1.4,2.3,17.4,6875480
millemi01,2013,NBA,SF,82,4,1707,4.5,9.3,0.481,2.3,4.9,0.459,2.2,4.4,0.505,1,1.2,0.821,0.6,3.7,4.4,2.7,0.5,0.1,1.6,2,12.2,1399507
redicjj01,2013,NBA,SG,35,34,987,6.6,14.5,0.455,2.7,6.7,0.395,3.9,7.8,0.507,3.5,3.9,0.915,0.3,2.4,2.7,2.8,1,0.1,1.5,2.4,19.4,6300000
jackja01,2013,NBA,PG,80,31,2252,4.6,11.2,0.41,1,3,0.341,3.6,8.2,0.435,2,2.4,0.839,0.4,3.2,3.6,5.2,0.9,0.4,2.1,2.1,12.1,6300000
fishede01,2013,NBA,SG,81,0,1428,3.6,9.1,0.391,2.2,5.8,0.384,1.3,3.3,0.402,1.4,1.8,0.775,0.3,2.8,3.1,2.9,1.8,0.1,1.2,4,10.7,1399507
landrca01,2013,NBA,PF,18,1,233,4.8,9.3,0.517,0,0,,4.8,9.3,0.517,2.2,2.6,0.824,2.3,6.5,8.8,0.8,0.5,0.2,1.4,5.3,11.7,6500000
bonnema01,2013,NBA,PF,61,0,690,3.8,8.6,0.445,2.2,5.1,0.429,1.6,3.4,0.47,0.5,0.6,0.75,0.8,5.9,6.8,1.6,0.8,0.6,0.8,2.6,10.3,3945000
anderry01,2013,NBA,PF,22,14,795,7,16,0.438,3,7.4,0.409,4,8.6,0.463,2.7,2.8,0.952,3,3.4,6.4,0.8,0.5,0.3,0.9,2.1,19.7,8308500
dudleja01,2013,NBA,SF,74,43,1729,4.1,9.3,0.438,1.7,4.7,0.36,2.4,4.6,0.518,0.8,1.2,0.655,0.7,2.6,3.3,2.2,0.9,0.2,1.2,3,10.6,4250000
pachuza01,2013,NBA,C,53,43,1325,4,9.5,0.427,0,0,0,4,9.5,0.428,3,3.5,0.846,3.8,5.2,9,3.7,1.2,0.4,2.5,3.4,11.1,5200000
feltora01,2013,NBA,PG,65,65,2017,4.3,10.9,0.395,1.1,3.5,0.318,3.2,7.4,0.431,1.6,2.2,0.721,1,2.6,3.5,6.5,1.4,0.5,2.3,2.8,11.2,3637073
monrogr01,2013,NBA,PF,82,82,2690,6.7,13.6,0.497,0,0,0,6.7,13.6,0.497,3.2,4.9,0.657,3.4,6.7,10.2,2.3,1.2,0.6,2.2,2.7,16.7,4086454
dragigo01,2013,NBA,SG,76,75,2668,7.4,14.7,0.505,1.6,4,0.408,5.8,10.7,0.542,4.3,5.6,0.76,0.9,2.4,3.3,6,1.4,0.3,2.9,2.8,20.8,7500000
hibbero01,2013,NBA,C,81,81,2409,4.9,11.3,0.439,0,0.1,0.4,4.9,11.2,0.439,3.1,4,0.77,3,5,8,1.4,0.4,2.7,2.2,4,13,14283844
rosede01,2013,NBA,PG,10,10,311,6.7,19,0.354,1.9,5.4,0.34,4.9,13.5,0.359,3.1,3.7,0.844,1,2.7,3.7,5,0.6,0.1,3.9,1.7,18.4,17632688
fryech01,2013,NBA,PF,82,82,2312,5.2,12.1,0.432,2.5,6.7,0.37,2.7,5.4,0.509,1.2,1.5,0.821,1.1,5.3,6.5,1.5,0.9,1,1.4,3.8,14.2,6400000
davisan02,2013,NBA,PF,67,66,2358,8,15.3,0.519,0,0.1,0.222,7.9,15.2,0.522,5.3,6.7,0.791,3.2,7.1,10.3,1.6,1.4,2.9,1.7,3.1,21.3,5375760
brewero02,2013,NBA,SF,24,3,160,0.7,3.4,0.2,0.2,1.8,0.125,0.5,1.6,0.286,0,0.5,0,0.5,2.7,3.2,2.3,1.4,0.2,0.5,0.9,1.6,1186459
allento01,2013,NBA,SG,55,28,1278,5.7,11.6,0.494,0.3,1.3,0.234,5.4,10.3,0.527,2.1,3.4,0.628,2.2,3.6,5.9,2.6,2.5,0.5,2.5,3.4,13.9,4494382
anderch01,2013,NBA,C,72,0,1396,4.6,7.1,0.644,0.1,0.3,0.25,4.5,6.8,0.662,3.1,4.4,0.71,3.3,6.4,9.8,0.5,0.8,2.5,1.4,4.2,12.3,1399507
